Game,Champion_1,Champion_2,Champion_3,Champion_4,Champion_5,Champion_6,Champion_7,Champion_8,Champion_9,Champion_10
1001080064,3,2,4,-,-,3,9,1,-,2
1001080068,1,6,8,-,2,3,3,3,-,2
1001080081,5,2,4,-,2,-,3,4,-,2
1001080093,-,9,6,-,2,1,4,8,-,1
1001080103,3,2,4,1,5,2,2,3,3,7
1001080179,-,4,7,-,2,3,8,4,1,1
1001080182,2,2,3,-,-,3,3,4,-,-
1001080201,1,8,2,-,-,1,8,2,1,2
1001080211,-,1,1,-,1,3,3,4,-,1
1001080217,1,2,7,-,-,-,7,2,-,5
1001080228,1,1,5,-,1,3,20,2,1,7
1001080232,1,5,8,-,-,1,10,4,-,3
1001090009,8,8,4,-,-,2,9,3,2,-
1001090010,2,19,1,-,3,6,10,3,-,-
1001090016,1,2,2,2,4,4,4,10,-,-
1001090019,1,3,2,-,2,-,2,5,-,-
1001090024,-,3,6,-,-,-,2,4,-,-
1001090032,-,-,1,-,3,4,3,2,-,9
1001090037,2,17,3,-,2,3,5,4,-,-
1001090042,11,-,3,-,-,-,5,1,-,2
1001090051,1,2,10,-,2,1,15,4,-,-
1001090057,5,3,3,-,-,1,3,9,-,1
1001090074,2,-,-,-,5,3,3,4,-,4
1001090089,2,3,1,-,-,2,4,2,-,4
1001090090,4,-,1,-,1,1,7,1,-,2
1001090096,4,3,-,-,-,6,8,-,-,3
1001090098,1,-,3,1,-,1,5,6,-,1
1001090100,2,3,-,2,6,-,7,1,-,3
1001090105,-,13,3,1,2,4,11,2,2,2
1001090113,5,1,6,-,1,1,8,5,-,4
1001090119,3,7,5,2,-,-,4,2,-,-
1001090130,1,4,5,-,3,1,4,7,-,-
1001090145,3,2,3,-,7,3,5,2,-,2
1001090154,1,4,2,-,6,6,5,6,1,5
1001090170,2,3,1,-,2,-,1,1,-,2
1001090181,2,2,5,-,1,8,1,1,-,2
1001090187,3,3,2,-,5,1,2,-,-,4
1001090193,8,8,1,-,4,2,4,4,-,-
1001090200,1,10,5,-,2,1,2,2,-,4
1001090206,4,7,4,-,-,1,3,2,-,-
1001100009,2,1,5,-,4,2,6,2,-,1
1001100015,3,2,2,-,-,2,1,5,2,-
1001100016,3,-,3,-,-,1,3,1,-,8
1001100017,3,2,-,-,-,-,1,3,-,-
1001100055,-,2,6,-,-,2,7,4,-,1
1001100063,3,2,3,-,-,-,1,4,-,1
1001100064,-,4,4,-,3,2,1,4,-,5
1001100072,3,3,2,-,1,-,1,5,-,1
1001100073,1,4,3,-,2,2,2,2,-,2
1001100099,1,5,5,-,1,1,14,5,-,1
1001100107,3,2,-,-,3,1,1,3,-,1
1001100108,2,17,2,-,1,2,-,5,-,1
1001100110,1,1,8,-,-,-,16,9,-,-
1001100111,-,10,5,-,1,2,4,5,-,-
1001100113,2,3,6,-,-,1,5,4,-,-
1001100119,3,1,6,-,-,1,2,3,-,3
1001100120,3,4,-,-,2,2,3,2,-,-
1001100121,1,1,5,-,-,-,2,4,-,3
1001110006,3,2,5,-,1,3,14,3,-,5
1001110014,2,-,2,3,2,6,5,5,-,3
1001110015,2,4,1,-,1,2,6,1,1,7
1001110031,2,5,3,-,7,4,10,2,-,2
1001110047,1,5,2,-,-,-,8,7,-,1
1001110049,1,9,8,-,4,3,6,-,-,2
1001110059,7,-,5,-,1,1,13,2,-,-
1001110068,1,4,-,-,2,5,3,7,-,1
1001110069,2,12,1,-,1,5,4,7,-,2
1001110070,1,2,-,-,-,4,12,5,-,6
1001110091,3,11,2,-,2,-,-,-,1,6
1001110095,4,1,3,1,7,-,1,2,-,3
1001110096,1,2,2,-,16,3,3,4,-,-
1001110098,1,1,6,-,6,-,4,5,-,5
1001110111,1,2,-,-,10,1,-,2,4,5
1001110117,3,3,5,1,1,-,3,5,2,6
1001110119,2,9,6,1,2,-,3,4,1,-
1001110120,1,3,2,1,2,1,1,5,1,12
1001110121,1,1,-,-,-,2,-,4,1,-
1001110160,-,2,-,-,1,1,15,-,-,-
1001110165,1,2,-,-,-,1,13,1,-,1
1001110166,2,10,1,-,-,1,9,-,-,-
1001110167,2,3,-,-,1,1,11,1,-,-
1001110168,2,7,-,-,4,1,10,2,-,2
1001130034,1,11,3,-,6,3,4,-,-,-
1001130047,1,1,6,-,2,-,1,-,-,-
1001130048,1,5,5,-,4,2,9,-,-,-
1001130049,1,4,7,-,6,2,1,-,-,-
1001130050,1,4,5,-,-,-,3,1,-,-
1001130066,1,3,3,1,1,1,10,-,-,2
1001130067,1,17,1,-,-,4,1,7,1,1
1001130068,-,2,6,-,-,1,15,1,-,-
1001130069,-,11,-,-,-,2,1,3,1,3
1001130070,4,3,4,1,-,-,4,1,-,-
1001160016,2,-,-,-,6,2,3,5,-,2
1001160035,1,-,6,-,-,4,5,1,-,3
1001160048,3,3,6,-,7,-,8,5,-,5
1001160051,1,5,5,-,2,2,1,3,-,1
1001160059,1,7,2,-,1,-,2,-,1,3
1001160069,4,4,-,-,-,-,4,-,-,2
1001160080,1,2,-,-,-,2,7,1,-,5
1001160087,1,3,4,-,-,3,3,7,-,6
1001160097,2,2,1,-,2,2,5,-,1,-
1001160106,1,8,4,-,2,-,5,-,-,5
1001180082,2,1,2,1,2,1,4,1,-,2
1001180093,-,1,1,2,2,-,3,3,-,-
1001180104,2,10,1,-,4,2,3,-,-,1
1001180113,-,3,2,-,1,1,2,1,-,-
1001180121,3,4,1,-,3,1,2,1,-,1
1001180122,7,4,5,1,5,3,2,-,-,2
1001180123,4,3,1,-,1,1,1,-,-,-
1001180131,1,3,-,1,2,1,5,7,-,2
1001180142,-,2,2,-,2,1,2,1,2,3
1001180151,1,3,3,-,3,2,4,-,-,-
1001180159,1,4,4,-,-,-,3,-,1,-
1001180169,1,4,-,-,2,2,2,6,-,7
1001180178,2,1,1,-,2,1,3,2,-,4
1001180186,1,1,-,-,-,2,2,-,-,-
1001180197,-,10,-,-,6,4,5,4,-,2
1001190006,1,3,1,-,4,-,5,2,-,3
1001190016,2,11,2,-,2,2,2,1,-,-
1001190025,2,1,7,-,-,1,6,2,-,-
1001190028,3,4,10,2,1,1,3,7,4,1
1001190031,1,-,7,-,4,1,3,1,-,4
1001190039,2,7,-,-,5,10,2,4,-,-
1001190040,-,3,-,-,-,3,4,3,1,3
1001190046,-,2,-,1,6,1,2,3,1,2
1001190049,-,7,-,-,2,2,5,1,-,6
1001190059,1,2,1,1,3,4,2,9,-,3
1001190068,-,1,3,-,2,1,1,-,-,4
1001190078,-,2,4,-,4,1,12,2,-,4
1001190085,2,3,7,-,2,1,8,1,-,2
1001190093,1,-,3,-,2,2,4,1,-,8
1001200014,2,2,1,-,-,2,3,-,-,1
1001200019,4,3,-,-,-,2,3,3,3,4
1001200024,2,5,-,1,3,2,3,3,1,1
1001200025,2,1,1,-,10,1,4,1,-,2
1001200033,1,3,1,-,3,6,1,-,3,14
1001200041,2,15,1,-,-,1,4,-,-,-
1001200042,1,2,1,-,4,3,3,2,-,1
1001200052,3,3,3,-,-,2,1,-,1,-
1001200058,2,3,-,-,-,-,3,1,-,1
1001200067,2,3,1,-,2,3,3,7,2,3
1001200073,1,3,3,1,-,3,3,1,-,3
1001200078,1,7,-,-,4,1,3,1,-,3
1001200081,4,3,-,1,-,4,10,1,-,2
1001200083,3,-,13,-,2,1,4,7,-,-
1001200090,1,2,6,-,-,1,1,1,-,-
1001200096,1,2,3,-,5,1,2,-,-,-
1001200109,4,1,-,-,-,1,9,-,-,1
1001200116,1,-,3,-,4,2,3,-,1,11
1001200133,1,3,4,-,-,1,1,3,-,-
1001200155,-,2,-,-,-,1,2,4,-,-
1001200177,2,3,5,-,2,3,7,1,-,3
1001200189,5,1,4,-,1,5,9,2,-,1
1001200197,4,3,6,-,2,2,2,-,-,-
1001200213,2,2,3,-,1,3,5,-,-,2
1001210070,1,4,-,-,8,3,2,5,-,4
1001210086,3,1,1,-,1,3,1,1,-,2
1001210093,-,2,2,-,3,2,5,1,1,2
1001210098,1,1,1,-,-,2,-,1,1,-
1001210107,2,2,9,-,2,7,2,5,1,-
1001210113,3,1,3,-,5,2,4,-,-,-
1001210125,2,4,3,-,-,6,1,3,-,2
1001210129,-,6,1,-,2,2,2,7,3,2
1001210134,3,1,1,-,-,2,3,1,1,5
1001210139,9,-,1,-,3,1,-,1,-,-
1001210144,2,-,1,-,-,7,2,2,-,1
1001210206,1,2,4,-,1,2,1,1,-,2
1001210217,3,2,-,-,2,2,5,2,-,2
1001210235,1,-,3,-,-,2,3,5,-,-
1001210241,3,6,8,-,1,4,3,-,1,2
1001220023,1,-,3,-,4,1,2,-,-,2
1001220027,1,7,1,-,1,2,5,-,1,-
1001220050,1,2,2,-,-,-,3,6,-,-
1001220051,4,1,1,-,1,5,4,3,-,4
1001220060,2,2,1,-,3,2,3,6,-,2
1001220070,1,8,1,-,1,-,1,2,-,1
1001220078,6,3,5,-,-,1,2,2,-,-
1001220085,4,4,1,-,1,5,2,1,-,1
1001220089,2,4,3,-,1,1,6,2,-,-
1001220096,1,2,-,-,-,3,2,5,-,2
1001220097,6,1,1,1,1,2,5,2,-,4
1001220103,1,2,-,-,7,1,4,1,-,1
1001220119,2,2,2,2,4,-,5,-,-,-
1001220147,2,3,2,-,-,2,2,-,-,-
1001220154,7,4,1,-,-,-,5,2,-,7
1001220243,2,1,-,-,5,3,2,-,-,1
1001220254,1,1,1,-,6,1,8,5,-,2
1001220266,-,3,2,-,9,5,15,3,-,9
1001220272,1,3,1,-,5,4,-,2,-,6
1001220279,3,6,1,5,3,3,2,-,-,-
1001230109,1,3,3,-,2,-,2,-,-,3
