Game,Champion_1,Champion_2,Champion_3,Champion_4,Champion_5,Champion_6,Champion_7,Champion_8,Champion_9,Champion_10
1001020062,2,13,4,1,-,1,7,-,-,-
1001020065,2,25,2,3,-,-,3,-,-,-
1001020066,1,16,8,12,-,3,3,4,5,-
1001020070,-,12,6,6,-,2,26,3,9,-
1001020073,2,7,6,10,2,3,25,4,11,-
1001020078,1,21,11,9,-,-,5,-,-,-
1001020080,-,15,2,5,-,1,3,1,-,-
1001020083,2,11,3,11,-,-,2,4,-,-
1001020089,3,34,2,9,-,1,10,6,7,1
1001020099,4,26,5,15,-,4,14,-,4,1
1001020112,4,9,-,2,-,-,19,4,1,-
1001020120,-,6,1,1,-,3,15,2,7,-
1001020148,1,4,4,-,-,-,13,11,21,-
1001020157,-,14,8,8,1,-,5,2,2,-
1001020167,-,6,3,-,-,5,23,5,12,1
1001020174,1,28,14,8,-,-,1,-,-,-
1001020185,-,10,-,-,-,4,13,6,9,2
1001020201,3,14,4,4,-,-,4,-,1,-
1001020214,5,14,3,12,-,2,6,1,3,-
1001020222,-,38,1,6,-,2,9,8,4,-
1001020233,3,17,18,18,-,1,6,-,1,-
1001020245,-,6,2,2,-,2,17,11,8,2
100102,-,6,-,2,-,2,10,8,5,-
1001030097,1,18,1,10,-,-,20,11,3,1
1001030105,-,10,1,7,2,-,9,3,-,-
1001030110,1,2,-,-,1,1,19,-,5,-
1001030118,-,2,-,1,1,3,25,8,21,-
1001030127,4,7,-,1,-,3,32,6,6,2
1001030142,-,5,-,6,-,-,11,3,3,-
1001030146,2,15,18,4,-,1,5,-,-,-
1001030165,2,34,2,11,-,1,2,7,-,-
1001030177,-,13,4,9,-,-,4,-,6,-
1001030183,-,8,1,5,-,3,13,-,6,-
1001040016,4,7,15,3,-,-,10,-,1,-
1001040017,11,21,4,15,-,1,9,1,4,-
1001040024,1,34,1,8,-,7,4,2,-,-
1001040025,2,20,2,-,3,1,24,8,18,-
1001040034,1,16,7,11,-,2,6,-,1,-
1001040041,3,19,11,5,1,-,7,-,-,-
1001040042,6,34,12,6,-,-,12,-,2,-
1001040055,2,13,-,3,-,2,21,12,5,-
1001040061,2,47,5,2,1,2,19,3,7,1
1001040062,13,30,4,3,-,-,6,-,3,-
1001040068,-,15,3,1,1,6,13,-,6,1
1001040074,-,2,-,1,-,2,13,-,4,1
1001040076,1,11,1,1,-,1,17,3,6,-
1001040080,1,16,3,6,-,-,3,-,-,-
1001040091,-,7,2,3,4,-,15,5,11,3
1001040096,-,6,1,-,-,-,17,3,1,-
1001040100,6,13,2,-,-,-,17,-,-,-
1001040103,8,15,7,9,1,2,6,15,4,-
1001040111,-,9,6,2,-,-,4,-,-,-
1001040113,1,22,2,1,-,-,14,7,2,-
1001040117,1,36,14,8,1,-,3,-,-,-
1001040123,6,25,14,7,-,7,8,-,-,-
1001040125,3,13,2,22,2,2,7,1,-,-
1001040132,7,34,5,4,-,-,3,1,-,-
1001040140,-,18,-,1,-,5,21,-,1,-
1001040142,-,37,4,6,-,1,6,-,-,1
1001040154,2,7,7,-,-,-,26,3,-,-
1001040161,1,27,11,2,-,1,11,4,9,-
1001040172,19,17,3,5,2,-,10,-,-,1
1001050098,3,7,7,7,1,5,10,1,-,-
1001050114,1,16,6,1,-,-,10,3,2,-
1001050123,3,7,-,-,-,6,26,-,13,-
1001050133,3,11,6,8,-,1,3,-,-,-
1001050144,1,7,15,3,1,-,14,-,-,-
1001050156,-,10,1,2,1,-,13,2,5,-
1001050166,2,13,5,2,-,-,14,1,1,-
1001050175,2,10,6,19,-,-,3,-,-,-
1001050188,6,28,11,13,-,-,13,5,3,-
1001050209,7,22,2,7,-,2,10,4,3,2
1001070005,1,18,-,4,-,-,4,1,12,-
1001070013,1,9,4,10,1,2,7,1,4,-
1001070015,5,13,-,-,-,8,38,1,14,-
1001070017,7,18,3,15,1,-,8,-,-,-
1001070027,2,18,7,15,-,-,26,-,14,-
1001070035,-,6,-,5,-,10,19,1,6,-
1001070036,4,13,3,7,-,2,7,3,-,-
1001070042,1,19,-,2,1,1,8,8,2,1
1001070044,3,14,-,-,-,-,6,-,1,-
1001070051,-,8,-,6,-,3,17,8,2,-
1001070059,4,11,-,-,-,-,18,9,10,1
